feature,importance_gain,importance_split
slope_mdeuda_tarjetas_total_6_window,106.33382987976074,10
talta_mora_delta_2,105.54162979125977,3
tmobile_app_delta_2,105.31389904022217,5
slope_Visa_mpagosdolares_6_window,104.52640056610107,10
mtarjeta_visa_descuentos,104.4771192073822,13
slope_Master_mpagado_6_window,102.75648927688599,11
tsin_sueldo_mes_delta_2,101.09119129180908,6
active_quarter,99.5863389968872,6
cpayroll_trx_delta_mean_4,97.19965028762817,5
TC_Total_msaldodolares,95.03550004959106,11
slope_mprestamos_prendarios_6_window,92.10949945449829,5
cforex_buy_delta_mean_4,89.61648941040039,6
cextraccion_autoservicio_delta_2,88.11478900909424,8
mcheques_emitidos,87.47760391235352,2
ctarjeta_master_debitos_automaticos_delta_mean_4,86.78172016143799,9
slope_minversion_ratio_6_window,85.50121116638184,8
slope_mcajeros_propios_descuentos_6_window,83.71173906326294,11
ctarjeta_master_debitos_automaticos_delta_3,81.7218017578125,1
cseguro_vivienda,81.48572969436646,6
catm_trx_delta_2,80.24440860748291,9
mcaja_ahorro_adicional,80.04788970947266,5
cdias_mora_promedio_delta_3,79.67632102966309,6
ccheques_emitidos_delta_mean_8,79.58090019226074,5
slope_Master_mpagosdolares_6_window,79.53123998641968,9
slope_TC_Total_mpagosdolares_6_window,79.1443099975586,8
mextraccion_autoservicio,79.01774024963379,8
slope_mpagodeservicios_6_window,77.65110039710999,11
ccajas_extracciones_delta_2,77.57241916656494,2
minversion1_pesos,76.63762021064758,11
ctarjeta_visa_descuentos_delta_mean_4,75.53252029418945,10
cpagomiscuentas_delta_2,73.69880962371826,9
ccheques_depositados,72.37628984451294,5
ccheques_depositados_rechazados_delta_mean_8,72.35984992980957,5
Master_status_delta_3,71.62113046646118,5
catm_trx_other_delta_mean_4,71.43514013290405,7
thomebanking_delta_2,70.52388048171997,5
cforex_sell_delta_mean_4,66.67816925048828,4
catm_trx_delta_3,65.605309009552,7
Master_cconsumos,65.45470905303955,7
ctarjeta_master_transacciones_delta_mean_4,65.27677869796753,6
ccuenta_debitos_automaticos_delta_2,64.12964057922363,7
cdescubierto_preacordado_delta_2,64.02503824234009,3
ccajas_otras_delta_mean_4,63.013941287994385,4
minversion2,62.143359422683716,7
mcheques_depositados,61.04409980773926,5
mttarjeta_master_debitos_automaticos,60.55629062652588,5
ctarjeta_visa_descuentos_delta_mean_8,60.46585988998413,6
tcuentas_delta_mean_4,58.87709999084473,3
ctarjeta_master_descuentos_delta_mean_8,58.315720081329346,5
cpayroll_trx_delta_3,57.11324071884155,7
tcallcenter,56.68379020690918,3
ccajeros_propios_descuentos_delta_mean_8,56.51788949966431,8
cforex_buy_delta_2,56.502899169921875,3
slope_Master_madelantopesos_6_window,56.18720054626465,2
cseguro_vida,55.96447944641113,9
Master_status_delta_mean_4,55.21880054473877,3
TC_Total_mpagado,54.64295959472656,4
ctarjeta_debito_delta_mean_4,54.59054946899414,6
ctarjeta_debito_delta_2,53.444729804992676,4
ctarjeta_master_delta_2,52.51719951629639,4
ccajas_otras_delta_3,50.272730112075806,7
tusa_app_o_homebanking_delta_mean_4,50.043089866638184,4
mpagodeservicios,49.32560992240906,7
ccajas_extracciones_delta_mean_4,48.37374973297119,5
catm_trx_other,48.16771078109741,5
slope_mtarjeta_master_descuentos_6_window,46.39201998710632,7
tsin_sueldo_mes_delta_3,45.66320037841797,2
ctarjeta_debito_delta_3,43.929901123046875,1
cplazo_fijo_delta_3,41.454039335250854,6
ccheques_depositados_delta_mean_8,39.84911012649536,4
ccajas_transacciones_delta_2,38.78609037399292,3
tsin_transacciones_mes_delta_3,37.36784076690674,3
cpagodeservicios_delta_3,35.358169078826904,2
cforex_buy_delta_mean_8,33.961859703063965,4
cdiversificacion_financiera_delta_3,33.033101081848145,2
tsin_transacciones_mes_delta_mean_4,32.64154005050659,3
mforex_buy,32.54990005493164,1
slope_mcaja_ahorro_adicional_6_window,31.862249851226807,4
ctarjeta_master_debitos_automaticos,31.689449310302734,3
ctarjeta_visa_delta_2,30.820600509643555,1
ccheques_depositados_rechazados_delta_mean_4,29.924009799957275,3
mtarjeta_master_descuentos,29.746350049972534,3
cpagodeservicios,28.960249423980713,3
minversion_ratio,28.56177043914795,3
tsin_inversiones_delta_mean_4,27.08084011077881,2
