feature,importance_gain,importance_split
cextraccion_autoservicio_delta_3,122.87460160255432,16
slope_mcajeros_propios_descuentos_6_window,122.39943981170654,24
ccajas_transacciones_delta_mean_4,121.71640062332153,17
slope_TC_Total_msaldodolares_6_window,120.67582941055298,18
ccuenta_debitos_automaticos,120.26127028465271,20
slope_Visa_msaldototal_6_window,120.14565181732178,15
TC_Total_cconsumos_delta_mean_4,118.19577169418335,11
Master_cconsumos_delta_2,118.1957094669342,17
Master_Finiciomora,118.14076805114746,5
ccajas_extracciones_delta_mean_4,117.76549053192139,16
ccuenta_debitos_automaticos_delta_mean_4,117.56345009803772,12
matm,116.7945008277893,21
slope_mtarjeta_master_consumo_6_window,116.50318908691406,18
TC_Total_cconsumos_delta_3,115.77432990074158,15
cuso_digital_ratio_delta_3,114.95334935188293,14
Master_mconsumospesos,114.69389009475708,18
ctrx_180d_delta_mean_8,114.40165972709656,15
cuso_digital_ratio_delta_mean_4,112.35752928256989,22
ccajas_otras,111.79282939434052,12
catm_trx_other_delta_mean_8,111.70483160018921,21
slope_TC_Total_mpagospesos_6_window,111.41504049301147,19
cplazo_fijo,109.97170877456665,7
ctrx_360d,109.59536981582642,15
TC_Total_cconsumos_delta_mean_8,107.56272912025452,16
ctarjeta_visa_debitos_automaticos_delta_2,107.47206783294678,10
ccheques_depositados_rechazados_delta_mean_8,106.46978032588959,18
ctarjeta_master_transacciones_delta_2,105.98684167861938,8
ccomisiones_mantenimiento,105.16971063613892,10
TC_Total_fultimo_cierre,104.48086047172546,18
ctransferencias_emitidas_delta_mean_4,104.11959981918335,18
chomebanking_transacciones_delta_3,103.97831988334656,16
ccajas_otras_delta_mean_8,103.4530701637268,18
mttarjeta_master_debitos_automaticos,103.0889105796814,14
cpayroll_trx_delta_mean_8,102.73871994018555,12
ctrx_180d_delta_mean_4,102.098459482193,13
slope_mlimite_tarjetas_total_6_window,101.51980972290039,12
Visa_Finiciomora_delta_mean_4,101.0904107093811,8
cactividad_total_delta_2,100.72817993164062,12
slope_Visa_msaldodolares_6_window,100.1630585193634,17
